Code;Product label;Exported value in 2018-Q3;Exported value in 2018-Q4;Exported value in 2019-Q1;Exported value in 2019-Q2;Exported value in 2019-Q3;Exported value in 2019-Q4;Exported value in 2020-Q1;Exported value in 2020-Q2;Exported value in 2020-Q3;Exported value in 2020-Q4;Exported value in 2021-Q1;Exported value in 2021-Q2;Exported value in 2021-Q3;Exported value in 2021-Q4;Exported value in 2022-Q1;Exported value in 2022-Q2;Exported value in 2022-Q3;Exported value in 2022-Q4;Exported value in 2023-Q1;Exported value in 2023-Q2;
070993;"Fresh or chilled pumpkins, squash and gourds "Cucurbita spp."";272;8000;22630;2393;348;17521;17135;3370;784;11159;21006;2287;469;14298;27418;5599;524;14377;23842;7123;
151590;"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...";5953;5927;7669;8311;7707;9285;8618;6687;8561;9950;9822;10197;8562;11086;14283;16660;4852;6047;10682;7037;
150920;"Extra virgin olive oil "EU cat. 1" obtained from the fruit of the olive tree solely by mechanical ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5139;7899;5022;2405;2533;6175;
190219;"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs";1413;2302;1425;1956;2136;2529;2428;1903;1640;1515;2320;2181;2281;3391;2746;4385;3976;3661;6756;6163;
330129;"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excl. those of citrus ...";8362;6372;6842;7523;7823;4326;3690;6253;5364;5879;4847;7171;6769;6136;4721;6400;4545;4216;5527;6001;
090230;"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...";4013;5499;5536;4489;4039;6204;4044;2742;4112;4605;3701;3675;5422;5706;5153;4318;5159;6272;5968;5575;
080610;"Fresh grapes";788;200;33;5940;786;275;97;5639;1013;271;131;6009;2383;738;72;5920;2293;804;41;5232;
070420;"Brussels sprouts, fresh or chilled";0;0;2488;2471;0;0;1935;2260;174;1;2716;3397;562;143;2051;4498;695;587;1817;5134;
170490;"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)";3991;4382;5125;4704;4032;5573;4488;1905;3753;4450;4931;3825;4878;6954;5027;4733;3881;5143;5302;5007;
151219;"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...";6925;10211;1397;4744;6192;9991;9252;6332;4303;5640;4104;817;3238;2159;4593;170;1499;830;2763;4855;
040719;"Fertilised birds' eggs for incubation (excl. of domestic fowls)";1859;2297;2707;2499;2364;2369;2732;3260;6037;5083;6178;6480;5722;6531;8283;7884;6173;6482;7001;4853;
150940;"Virgin olive oil "EU cat. 3" obtained from the fruit of the olive tree solely by mechanical ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;7790;6871;893;1432;1548;4693;
080510;"Fresh or dried oranges";10130;11874;25556;31936;24271;6898;21040;46977;10920;8478;15513;26761;14152;11350;29841;32538;18439;7451;9016;4662;
080521;"Fresh or dried mandarins incl. tangerines and satsumas (excl. clementines)";5;12728;140199;4132;102;16807;178277;3098;6;24098;179058;7958;0;16490;246395;35433;36;21990;215852;4625;
010649;"Live insects (excl. bees)";2490;1635;3171;2601;3672;1994;4089;4036;3134;2092;3715;5344;3504;1736;3737;4325;2842;1397;3532;4411;
240419;"Products containing tobacco or nicotine substitutes, intended for inhalation without combustion ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2304;3354;3502;3357;2454;4259;
130219;"Vegetable saps and extracts (excl. liquorice, hops, opium and ephedra)";6239;6896;9958;8374;5076;7012;10804;9800;7484;14040;13115;5214;4750;4366;5461;5913;4733;3030;5027;3966;
200190;"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ...";4241;4706;4085;3406;3560;3235;3231;3082;2906;4406;2158;2309;2685;4009;3227;3711;3835;4279;4766;3718;
080930;"Fresh peaches, incl. nectarines";455;170;1020;3743;178;29;1164;3227;401;22;683;4951;2953;31;286;3670;2033;54;5;3608;
090210;"Green tea in immediate packings of <= 3 kg";3441;4957;4292;3989;3011;3400;3193;1565;2888;3639;2195;3222;4063;3701;3636;3296;3262;3807;4507;3607;
150790;"Soya-bean oil and its fractions, whether or not refined (excl. chemically modified and crude)";1744;2027;2115;1892;1537;1171;5563;13218;3900;5267;4451;9848;14330;17166;12561;35830;14748;6016;5891;3535;
220299;"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)";2220;2698;2912;2325;2364;3023;2660;1842;2406;2753;5024;3806;3252;3410;3865;4004;3547;4091;4637;3519;
210111;"Extracts, essences and concentrates, of coffee";6650;9070;6635;5666;7695;7482;7760;7897;7967;8011;7662;7661;7238;5121;4338;9577;8693;6065;5675;3431;
200850;"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ...";3429;2832;2167;1305;2831;2462;975;754;3101;1473;1994;3202;4618;2615;1488;1812;4513;3471;2948;2997;
070610;"Fresh or chilled carrots and turnips";834;610;377;484;783;611;1047;1142;1975;1140;1036;1986;2956;2120;1415;1788;2881;3777;2873;2966;
040630;"Processed cheese, not grated or powdered";13767;11734;14104;15738;12705;7955;7545;11753;4300;4717;7602;1821;4087;6682;5080;4261;3252;1741;3379;2895;
130232;"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ...";216;193;30;201;0;172;0;0;0;132;2446;3373;5709;7814;9324;11194;3888;4294;4683;2732;
121229;"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, unfit for ...";1992;1714;1938;5075;2338;1070;887;1562;2083;833;1678;1715;1074;897;1343;1061;1829;1233;1477;2645;
060312;"Fresh cut carnations and buds, of a kind suitable for bouquets or for ornamental purposes";1468;1612;2270;2048;1622;1427;1525;1977;1590;1879;1399;2773;1920;1412;3106;2502;1917;1257;1164;2605;
200210;"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid";2744;1802;2407;3141;2044;2738;2110;1101;1409;1545;1755;3962;3142;2784;2869;3889;2128;2063;2393;2604;
