Code;Product label;Exported value in 2009-Q1;Exported value in 2009-Q2;Exported value in 2009-Q3;Exported value in 2009-Q4;Exported value in 2010-Q1;Exported value in 2010-Q2;Exported value in 2010-Q3;Exported value in 2010-Q4;Exported value in 2011-Q1;Exported value in 2011-Q2;Exported value in 2011-Q3;Exported value in 2011-Q4;Exported value in 2012-Q1;Exported value in 2012-Q2;Exported value in 2012-Q3;Exported value in 2012-Q4;Exported value in 2013-Q1;Exported value in 2013-Q2;Exported value in 2013-Q3;Exported value in 2013-Q4;
080550;"Fresh or dried lemons "Citrus limon, Citrus limonum" and limes "Citrus aurantifolia, Citrus ...";2530;189;2;791;1762;188;440;5825;3307;756;432;3837;3791;341;559;2646;5716;379;693;5434;
121220;"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground";1594;1427;2388;3190;1412;1827;5057;1329;1104;1943;1732;1962;3002;2331;5035;4703;2026;2474;4054;5318;
210111;"Extracts, essences and concentrates, of coffee";8250;6427;9240;9181;8810;4809;5179;8753;5182;6540;7796;7594;6851;7152;7529;8920;7191;7059;5371;5302;
220290;"Non-alcoholic beverages (excluding water, fruit or vegetable juices and milk)";3058;1884;2304;1290;2086;2092;1310;1464;1649;1855;1766;2214;2709;1992;3072;3039;3338;3260;3067;4272;
130232;"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ...";2947;3011;2357;3812;4183;4210;3485;4240;3766;4719;2670;3329;2540;3025;4096;2973;3800;4110;4682;3811;
330129;"Essential oils, whether or not terpeneless, incl. concretes and absolutes (excl. those of citrus ...";1944;3489;5016;3638;5016;4815;4925;3293;2648;4695;6339;3943;2536;3630;3734;3499;3593;5510;5705;3550;
200190;"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar ...";2736;2411;2503;3204;2860;2626;2382;2926;3114;3119;1822;2625;3048;3654;2734;3521;3338;3226;3187;3534;
200850;"Apricots, prepared or preserved, whether or not containing added sugar or other sweetening ...";4697;4002;6018;3672;5341;3298;4890;3463;3058;3298;8506;4072;3879;2940;3692;2663;2941;3531;3838;3501;
330190;"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...";3843;3452;324;538;779;2930;3555;2702;2243;3187;3393;3588;2569;3504;3858;3380;3696;3662;3126;3463;
240391;"Tobacco, "homogenised" or "reconstituted" from finely-chopped tobacco leaves, tobacco refuse ...";0;0;0;0;0;21;0;0;46;0;0;265;528;702;0;958;1582;3128;2651;3456;
070700;"Cucumbers and gherkins, fresh or chilled";698;347;30;755;474;869;84;488;1026;178;26;576;1805;13;23;1464;544;306;67;3252;
081120;"Frozen raspberries, blackberries, mulberries, loganberries, black-, white- or red currants ...";90;267;268;740;72;0;69;39;705;848;228;57;68;1703;30;57;62;504;3397;3068;
070310;"Fresh or chilled onions and shallots";341;505;363;640;727;842;787;969;1029;1061;496;1388;3444;290;952;1051;1923;1159;4337;3057;
090210;"Green tea in immediate packings of <= 3 kg";1136;1295;1298;1159;2022;1924;1096;1909;2449;3026;2650;2618;2505;2186;1294;2667;2277;2793;1932;2966;
090230;"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...";658;1009;1083;1285;1469;1628;993;1487;1930;2549;1940;2866;2558;2379;1610;2162;2193;2888;2321;2778;
090920;"Coriander seeds";1385;1305;2359;2861;2096;1807;1528;2583;2306;2303;2750;1878;1926;1273;1081;2260;3030;2451;1324;2726;
240210;"Cigars, cheroots and cigarillos containing tobacco";168;185;102;131;5214;1908;1222;4347;5621;6136;6086;4242;96;245;80;240;5953;6953;5561;2357;
081110;"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened";3600;27815;8436;1272;5707;28778;7754;1236;7351;37315;9702;469;7654;46584;14880;723;10994;41145;25837;2353;
080719;"Fresh melons (excl. watermelons)";8202;38065;11027;7432;12144;36031;3431;4096;4254;43397;3837;1974;6966;24988;16151;3690;11937;19817;17239;2232;
151219;"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...";68;229;115;200;777;743;882;2933;1336;1025;336;7;407;182;593;3555;1890;1065;346;2231;
060310;"Fresh cut flowers and flower buds, for bouquets or for ornamental purposes";1487;759;806;486;1134;1208;989;1096;2078;1957;809;452;1924;1372;387;775;497;1605;1462;2219;
081190;"Frozen fruit and nuts, uncooked or cooked by steaming or boiling in water, whether or not sweetened ...";770;1326;2823;2655;576;1472;3267;1270;1227;2111;6980;2390;1135;1565;4886;2076;1661;1692;6100;2184;
091040;"Thyme and bay leaves";836;421;1010;1108;1035;1165;1198;1393;878;1070;1330;1593;1084;1905;1272;1796;1556;1752;1820;2103;
170199;"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ...";0;18;7;3;10;127;139;1623;508;0;0;15;0;16;14;0;35;18;1295;2095;
080212;"Fresh or dried almonds, shelled";1067;1199;1607;1622;1741;850;979;1793;2031;1086;1565;1204;1728;1321;938;1106;1242;1765;791;2088;
150910;"Virgin olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...";1048;1032;1137;1315;23765;1318;3061;10749;21335;15926;3894;1817;5283;4073;4693;12346;7110;6054;1514;2010;
150990;"Olive oil "EU cat. 4 and 5" and fractions obtained from the fruit of the olive tree solely ...";154;144;5235;84;6298;2554;3186;5176;11656;12136;12553;1825;30;0;131;4491;598;445;2511;1866;
200590;"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...";1574;2164;2180;1313;1883;1908;2182;1292;1374;2147;1320;1024;832;1355;1605;1290;1028;1858;1765;1565;
040700;"Birds' eggs, in shell, fresh, preserved or cooked";262;6;0;0;12;522;873;1028;1511;1192;741;813;1113;1843;1558;1438;1152;1316;1092;1538;
081040;"Fresh cranberries, bilberries and other fruits of the genus Vaccinium";429;4129;216;48;3880;10324;7;0;3549;12267;165;10;1013;15922;663;394;2694;17692;9634;1521;
200819;"Nuts and other seeds, incl. mixtures, prepared or preserved (excl. prepared or preserved with ...";1063;808;838;855;1038;972;979;626;733;1027;769;810;479;943;706;1021;961;869;1298;1415;
090420;"Fruits of the genus Capsicum or of the genus Pimenta, dried or crushed or ground";141;195;602;370;536;361;376;864;948;848;243;779;691;1091;879;491;1021;1234;1352;1381;
410221;"Raw skins of sheep or lambs, without wool on, pickled, whether or not split";0;0;121;0;32;0;39;52;0;0;0;0;0;0;0;0;99;381;2031;1361;
080440;"Fresh or dried avocados";2255;530;328;1013;541;214;180;1066;2468;1185;397;1549;2151;569;178;78;429;560;380;1294;
070890;"Fresh or chilled leguminous vegetables, shelled or unshelled (excl. peas "Pisum sativum" and ...";691;103;25;170;193;161;0;143;555;45;1;274;663;137;9;85;427;235;1;1268;
070690;"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excl. ...";862;244;451;555;607;213;39;771;1601;437;223;923;2557;317;101;565;1471;673;64;1260;
190590;"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...";609;715;392;751;873;804;829;768;700;989;988;701;833;653;694;688;823;737;570;1227;
220429;"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...";885;4049;117;178;2044;2690;277;1078;2830;3164;269;745;872;2009;782;1046;1133;1632;949;1031;
200210;"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid";824;875;1018;743;685;659;1002;631;1005;1333;976;958;739;1392;918;806;911;1128;1099;976;
060220;"Edible fruit or nut trees, shrubs and bushes, whether or not grafted";857;1093;366;474;1553;825;527;285;950;1175;555;233;2327;308;686;369;1258;185;638;974;
510111;"Greasy shorn wool, incl. fleece-washed wool, neither carded nor combed";0;0;0;0;5;27;107;89;199;376;94;290;113;135;119;274;518;366;757;928;
180690;"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...";476;432;250;326;200;32;24;758;1196;1106;699;1186;916;975;969;1412;1178;1270;1157;908;
230990;"Preparations of a kind used in animal feeding (excl. dog or cat food put up for retail sale)";8;115;161;211;199;327;379;232;453;460;598;619;742;8999;734;927;1000;1102;858;886;
080540;"Fresh or dried grapefruit and pomelos";464;0;0;78;349;178;0;211;251;103;0;102;810;53;0;199;628;57;0;851;
190110;"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...";11;98;672;1177;607;445;398;241;1163;1217;1188;797;302;1146;518;197;392;992;1100;845;
200980;"Juice of fruit or vegetables, unfermented, whether or not containing added sugar or other sweetening ...";398;21;62;0;98;20;23;29;73;74;66;29;202;452;93;941;237;540;299;824;
120799;"Oil seeds and oleaginous fruits, whether or not broken (excl. edible nuts, olives, soya beans, ...";25;71;131;407;21;13;229;200;107;289;693;284;14;7;173;140;31;283;520;796;
070529;"Fresh or chilled chicory (excl. witloof chicory)";699;615;0;583;1232;969;0;373;891;2314;227;347;751;1112;74;0;527;489;259;795;
050800;"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ...";12;222;167;82;48;60;283;205;170;19;234;256;199;67;197;129;75;204;710;783;
210410;"Soups and broths and preparations therefor";1070;2175;2763;1467;1303;2633;1298;1974;1858;2697;2136;1501;1150;2503;1448;1310;902;1997;686;779;
010690;"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other ...";540;1322;917;558;952;1019;869;1228;1313;2024;849;1111;1831;1475;823;3049;1912;1491;1039;735;
121110;"Liquorice roots, fresh or dried, whether or not cut, crushed or powdered";2341;820;597;1085;3368;998;804;1222;2468;1592;110;350;497;343;195;410;1253;635;496;723;
151800;"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...";38;53;30;29;26;65;25;74;77;245;199;213;312;1358;399;368;526;482;453;717;
170410;"Chewing gum, whether or not sugar-coated";202;345;419;609;323;217;348;483;197;461;501;464;121;418;484;514;463;270;365;680;
040310;"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...";0;0;1;1;1;58;120;151;170;319;345;631;721;970;748;716;711;695;680;670;
070190;"Fresh or chilled potatoes (excl. seed)";3480;1482;52;256;7403;2375;92;83;5957;2913;541;350;5147;2249;307;154;4528;5790;4475;643;
220421;"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...";1266;691;882;824;915;763;527;991;954;945;1531;602;335;332;258;171;890;1163;899;615;
180631;"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled";66;55;49;54;17;0;0;0;52;0;0;50;312;647;612;509;549;491;446;581;
200990;"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ...";137;0;6;19;0;41;141;167;115;149;1072;258;266;621;378;414;309;774;345;569;
200892;"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...";13;0;18;26;112;145;343;222;39;190;151;237;172;288;189;376;189;662;255;554;
220210;"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...";91;143;100;219;112;123;180;126;115;237;268;198;138;258;333;237;420;916;671;550;
200899;"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...";13;0;0;41;10;30;55;8;32;20;60;58;9;28;23;123;179;82;302;523;
150410;"Fish-liver oils and their fractions, whether or not refined (excl. chemically modified)";100;2118;17;56;571;181;35;46;90;129;35;86;101;64;0;15;69;480;363;514;
510119;"Greasy wool, incl. fleece-washed wool, neither carded nor combed (excl. shorn wool)";0;0;0;0;7;13;0;16;180;689;1090;299;395;393;168;312;615;418;575;487;
190230;"Pasta, cooked or otherwise prepared (excl. stuffed)";16;10;28;0;13;9;8;24;14;24;28;18;26;37;18;53;80;71;181;479;
190531;"Sweet biscuits";440;53;137;161;272;278;632;400;252;188;211;290;345;320;286;362;407;315;299;454;
200880;"Strawberries, prepared or preserved, whether or not containing added sugar or other sweetening ...";91;219;202;46;100;248;75;34;152;763;96;130;491;822;188;539;678;506;493;431;
160232;"Meat or offal of fowls of the species "Gallus domesticus", prepared or preserved (excl. sausages ...";0;118;0;167;1;0;80;0;0;0;189;186;291;460;592;680;415;642;730;427;
210210;"Active yeasts";650;695;674;903;1290;362;774;870;553;741;532;566;489;1240;330;836;1348;744;815;417;
010511;"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)";4;10;60;49;72;121;122;115;152;182;276;217;288;258;224;379;372;564;370;399;
070610;"Fresh or chilled carrots and turnips";244;217;0;212;193;233;245;474;308;374;549;336;133;187;450;449;245;344;473;395;
150710;"Crude soya-bean oil, whether or not degummed";7;0;0;24;0;0;0;10;0;0;0;0;22;0;387;194;607;320;568;383;
160590;"Molluscs and aquatic invertebrates, prepared or preserved";404;614;425;848;748;1401;305;3052;1035;668;28;829;60;659;66;284;501;349;424;313;
071190;"Vegetables and mixtures of vegetables provisionally preserved, e.g. by sulphur dioxide gas, ...";367;359;299;135;273;348;165;259;234;473;333;353;309;357;127;202;271;373;239;295;
190219;"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs";95;81;44;39;54;116;224;160;401;266;105;82;155;248;155;172;172;333;171;290;
160414;"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excl. minced)";488;615;561;476;697;657;860;282;504;374;327;92;593;1480;1294;1052;0;125;111;286;
060110;"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant (excl. those used for human ...";0;1;544;239;1;3;432;90;104;0;704;39;61;157;365;46;0;0;386;284;
151620;"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...";39;219;33;36;46;36;4;61;158;252;267;474;320;333;231;205;324;303;259;265;
071290;"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not ...";1060;373;154;8;0;1;19;13;0;50;151;0;35;0;131;12;767;390;813;258;
071010;"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen";0;0;0;0;0;44;193;160;172;558;1148;272;278;499;1114;390;243;371;837;253;
120991;"Vegetable seeds, for sowing";722;117;1014;187;513;73;1077;171;799;131;983;151;913;8;712;146;1073;612;1325;236;
160100;"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...";241;50;77;129;187;120;182;346;320;345;215;181;271;566;254;204;264;331;286;217;
020727;"Frozen cuts and edible offal of turkeys of the species domesticus";0;0;0;0;54;0;0;97;144;102;0;50;196;165;27;66;30;117;198;201;
510129;"Degreased wool, non-carbonised, neither carded nor combed (excl. shorn wool)";0;0;0;0;0;0;0;0;17;146;287;254;631;401;126;126;149;242;28;186;
151710;"Margarine (excl. liquid)";346;503;1255;140;109;127;392;254;32;261;334;120;91;90;112;68;127;186;234;183;
200820;"Pineapples, prepared or preserved, whether or not containing added sugar or other sweetening ...";0;0;0;12;21;0;28;32;0;0;0;0;0;0;0;48;2;0;26;182;
200919;"Orange juice, unfermented, whether or not containing added sugar or other sweetening matter ...";299;317;200;104;255;42;15;48;9;65;186;23;565;1808;1061;93;162;816;230;176;
051191;"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, ...";20;18;883;916;649;688;3818;990;354;651;1301;750;308;757;3272;1007;0;1199;4829;171;
151000;"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...";160;1131;698;1514;2523;846;1845;833;5194;2084;689;55;1332;955;386;1366;6044;1025;2104;165;
160231;"Meat or offal of turkeys "Gallus domesticus", prepared or preserved (excl. sausages and similar ...";227;179;6;145;48;23;197;12;193;33;125;117;50;97;110;185;149;397;63;164;
070930;"Fresh or chilled aubergines "eggplants"";1;1;1;113;71;16;45;58;74;6;15;62;83;8;8;46;11;22;53;156;
071040;"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen";27;569;376;569;4;401;0;439;0;272;21;0;24;0;0;98;0;245;159;154;
160220;"Preparations of liver of any animal (excl. sausages and similar products and finely homogenised ...";0;0;0;0;69;0;0;63;84;73;108;147;75;56;38;159;70;35;44;129;
330119;"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excl. ...";0;0;11;1;0;27;2;7;1;18;64;89;17;640;21;14;19;407;24;128;
160540;"Crustaceans, prepared or preserved (excl. smoked, crabs, shrimps, prawns and lobster)";1;2;0;0;2;2;3;2;1;3;0;1;3;20;9;7;17;3;0;127;
110319;"Groats and meal of cereals (excl. wheat and maize)";45;49;106;32;46;74;152;68;63;106;191;95;116;105;140;65;91;141;98;124;
240220;"Cigarettes, containing tobacco";4414;4026;3083;3766;1291;109;897;689;141;0;195;51;562;96;162;315;176;309;146;122;
350510;"Dextrins and other modified starches, e.g. pregelatinised or esterified starches";44;45;48;132;66;64;68;5;72;74;140;30;197;25;4;55;137;43;126;119;
220300;"Beer made from malt";68;126;57;189;231;447;141;152;71;114;126;92;132;394;263;685;489;1292;37;114;
200290;"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. whole or in ...";2713;2968;1990;2247;2360;2808;1198;1561;2449;2173;731;649;2002;1798;448;982;270;78;75;113;
080450;"Fresh or dried guavas, mangoes and mangosteens";3;2;2;10;1;0;3;1;2;1;366;90;0;0;37;0;0;0;212;103;
200559;"Unshelled beans "Vigna spp., Phaseolus spp.", prepared or preserved otherwise than by vinegar ...";119;192;368;383;105;116;111;0;102;163;170;81;135;51;137;122;78;0;69;102;
210390;"Preparations for sauces and prepared sauces; mixed condiments and seasonings (excl. soya sauce, ...";82;296;186;228;56;84;10;31;50;56;155;53;229;130;60;17;87;93;88;99;
330130;"Resinoids";195;28;80;11;89;86;72;14;220;162;29;84;10;0;47;195;187;21;63;99;
200870;"Peaches, incl. nectarines, prepared or preserved, whether or not containing added sugar or ...";40;1;62;23;21;52;69;75;39;125;45;27;125;78;54;168;127;138;88;96;
071333;"Dried, shelled kidney beans "Phaseolus vulgaris", whether or not skinned or split";198;83;1;0;0;0;0;0;0;1;0;0;0;19;0;0;0;0;13;94;
200949;"Pineapple juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar ...";4;0;1;0;0;0;0;0;0;4;21;10;38;76;103;98;77;59;39;92;
070910;"Fresh or chilled globe artichokes";439;264;44;14;529;70;180;2;356;31;0;31;131;126;4;18;33;70;213;86;
070390;"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)";692;1099;22;85;33;391;278;51;263;511;35;43;137;116;67;3;16;102;296;85;
210420;"Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, ...";262;311;333;305;149;160;131;332;294;262;254;260;145;249;55;1738;165;147;270;83;
190532;"Waffles and wafers";6;15;9;107;44;83;147;0;0;0;0;0;50;6;0;69;125;88;73;81;
060499;"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, for bouquets ...";6;19;0;1;59;39;0;22;59;30;0;20;6;0;40;61;21;6;64;79;
220900;"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid";28;127;186;40;75;73;94;75;65;149;137;19;99;117;87;68;101;161;98;78;
140490;"Vegetable products n.e.s";7;6;0;14;6;7;32;10;0;45;10;65;2;20;1;15;23;36;60;76;
200490;"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ...";104;201;223;53;43;99;44;15;27;31;17;13;9;56;45;13;11;8;93;73;
080711;"Fresh watermelons";136;4427;295;97;32;1576;447;77;18;5266;436;0;421;3652;2881;10;74;6759;5115;67;
200799;"Jams, jellies, marmalades, purées or pastes of fruit, obtained by cooking, whether or not containing ...";65;194;155;154;61;105;236;60;69;161;254;172;101;268;184;131;30;104;125;67;
091020;"Saffron";1015;3300;736;283;479;6;77;22;102;198;21;155;63;30;142;172;202;122;192;66;
