Code;Product label;Exported value in 2013-Q4;Exported value in 2014-Q1;Exported value in 2014-Q2;Exported value in 2014-Q3;Exported value in 2014-Q4;Exported value in 2015-Q1;Exported value in 2015-Q2;Exported value in 2015-Q3;Exported value in 2015-Q4;Exported value in 2016-Q1;Exported value in 2016-Q2;Exported value in 2016-Q3;Exported value in 2016-Q4;Exported value in 2017-Q1;Exported value in 2017-Q2;Exported value in 2017-Q3;Exported value in 2017-Q4;Exported value in 2018-Q1;Exported value in 2018-Q2;Exported value in 2018-Q3;
TOTAL;"All products";5829601;5946164;6570874;5554216;5619868;5743628;5815379;5055121;5582839;5939203;5953833;5007057;5943890;6385469;6245454;5893626;7082305;7747827;7714978;6423747;
;"Agricultural products";1088578;941895;942576;641425;977589;1109734;812641;601408;1133628;1136015;861691;596796;1159721;1333327;976256;677249;1315297;1613966;1181892;735852;
160413;"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ...";139220;101715;110975;122284;133556;90114;87892;107318;126380;105012;102979;88995;119850;99466;111056;110765;142724;101350;110951;129493;
070200;"Tomatoes, fresh or chilled";170510;132724;104311;23280;147952;209678;51742;65629;203373;193404;57050;41193;217552;236585;53716;37011;250842;282889;82384;63157;
170199;"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ...";2095;959;481;456;1569;5691;25358;20920;27156;22345;38021;42385;69471;71695;63006;46520;36224;36601;42443;38308;
200570;"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";29770;41999;51144;38896;33869;31922;31912;26630;24928;34296;40919;32118;27321;35515;37869;33632;31220;39339;45147;37746;
160420;"Prepared or preserved fish (excl. whole or in pieces)";31825;21517;33011;31007;28961;21443;32876;29922;31678;28132;33924;27210;24586;23593;24666;28287;33094;29246;29387;29984;
230120;"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...";25650;33131;42882;23624;67935;38595;27327;24313;59214;34530;49511;42277;42873;29898;27428;53193;43007;40265;34099;25149;
210690;"Food preparations, n.e.s.";7617;9367;9832;7737;7850;8696;8595;8452;9177;10461;10412;10752;11112;10684;10386;11911;21310;22095;22545;23377;
070820;"Fresh or chilled beans "Vigna spp., Phaseolus spp.", shelled or unshelled";59016;24100;43149;19237;32786;47383;35822;12889;43597;48055;37691;11698;46508;78786;59099;19180;84091;112130;74708;18719;
