Code;Product label;Exported value in 2004-Q2;Exported value in 2004-Q3;Exported value in 2004-Q4;Exported value in 2005-Q1;Exported value in 2005-Q2;Exported value in 2005-Q3;Exported value in 2005-Q4;Exported value in 2006-Q1;Exported value in 2006-Q2;Exported value in 2006-Q3;Exported value in 2006-Q4;Exported value in 2007-Q1;Exported value in 2007-Q2;Exported value in 2007-Q3;Exported value in 2007-Q4;Exported value in 2008-Q1;Exported value in 2008-Q2;Exported value in 2008-Q3;Exported value in 2008-Q4;Exported value in 2009-Q1;
TOTAL;"All products";2440284;2339207;2682325;2810480;2761899;2580202;3161896;3039461;3418041;3032522;3405264;3691337;3660632;3434303;3911880;4698001;6234253;5379921;3465142;3284411;
;"Processed food and agro-based products";268923;283612;228009;320373;326236;283849;377288;393031;367886;346841;319729;417411;399438;338049;375228;520189;627504;423910;352578;413263;
030759;"Octopus "Octopus spp.", smoked, dried, salted or in brine";40813;71988;23162;78310;75431;41172;58529;90198;70512;53910;40443;130674;76300;58465;49869;182014;167586;68564;47812;101397;
160413;"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excl. ...";49220;50420;65891;60537;52572;72835;78873;70337;59838;85741;95745;71414;53614;65783;119834;117556;87960;99101;93306;93994;
200570;"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";32448;22869;19591;24239;30505;21276;20890;27309;29532;22101;15156;23552;33389;26536;18891;29337;52969;35709;27494;32867;
040630;"Processed cheese, not grated or powdered";13234;11270;14283;14738;18116;17495;22840;25202;26500;22468;24033;24424;21747;24750;27702;26082;27594;25137;17125;26832;
030749;"Cuttle fish and squid, smoked, dried, salted or in brine, with or without shell";12852;25111;12429;27967;19194;11329;24600;37522;24209;22664;13291;30624;28360;27887;25519;33092;46681;13939;29167;22522;
160420;"Prepared or preserved fish (excl. whole or in pieces)";14232;13001;15575;15525;16257;15782;15256;13611;18278;16157;18018;16530;18501;16580;16373;18381;24622;25046;19975;18727;
230120;"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...";4491;4283;3368;8203;5775;3941;17431;7808;6680;11408;17075;15286;7896;5569;3728;7217;18395;15980;19114;13428;
160415;"Prepared or preserved mackerel, whole or in pieces (excl. minced)";6868;7331;7952;7600;8495;11095;10963;8801;10976;13875;14272;12825;12453;11444;12672;11788;11921;15608;11030;10934;
