Code;Product label;Exported value in 2000-Q1;Exported value in 2000-Q2;Exported value in 2000-Q3;Exported value in 2000-Q4;Exported value in 2001-Q1;Exported value in 2001-Q2;Exported value in 2001-Q3;Exported value in 2001-Q4;Exported value in 2002-Q1;Exported value in 2002-Q2;Exported value in 2002-Q3;Exported value in 2002-Q4;Exported value in 2003-Q1;Exported value in 2003-Q2;Exported value in 2003-Q3;Exported value in 2003-Q4;Exported value in 2004-Q1;Exported value in 2004-Q2;
200110;"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid";833;638;1511;1200;801;341;2303;1323;558;605;2920;1632;767;497;2980;1397;1013;632;
030624;"Crabs, even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, ...";158;105;83;77;21;8;13;29;129;78;0;23;122;15;33;63;140;626;
200919;"Orange juice, unfermented, whether or not containing added sugar or other sweetening matter ...";340;952;807;440;644;779;488;643;636;796;903;874;1017;833;1027;1019;381;618;
030621;"Rock lobster and other sea crawfish "Palinurus spp., Panulirus spp. and Jasus spp.", even smoked, ...";419;951;1751;398;148;257;282;143;81;288;467;87;80;506;302;27;361;590;
170490;"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)";94;60;63;119;165;82;100;168;151;268;235;224;477;372;439;399;539;439;
220421;"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...";0;124;99;55;75;51;83;77;126;207;84;185;88;143;241;228;248;438;
210210;"Active yeasts";276;374;231;372;189;295;280;354;207;319;346;412;612;523;241;126;559;415;
382319;"Fatty acids, industrial, monocarboxylic; acid oils from refining (excl. stearic acid, oleic ...";0;0;0;4;231;1;1;0;5;13;11;4;226;307;6;408;6;351;
151190;"Palm oil and its fractions, whether or not refined (excl. chemically modified and crude)";0;0;0;0;0;0;0;58;511;617;418;229;777;0;1037;1288;415;310;
170230;"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter ...";0;0;0;0;0;0;0;0;111;0;94;325;77;261;87;63;150;286;
210230;"Prepared baking powders";2;0;2;3;2;0;0;60;70;322;363;545;356;362;237;463;327;257;
030799;"Molluscs, even in shell, smoked, dried, salted or in brine (excl. oysters, scallops of the ...";89;1307;11;322;1696;217;48;173;20;5;89;29;107;11;144;379;311;254;
210410;"Soups and broths and preparations therefor";149;96;440;710;93;189;702;638;494;185;1347;682;35;1;1321;657;95;249;
200320;"Truffles, prepared or preserved otherwise than by vinegar or acetic acid";303;55;10;0;146;0;178;5;123;0;0;5;129;257;52;126;314;240;
200559;"Unshelled beans "Vigna spp., Phaseolus spp.", prepared or preserved otherwise than by vinegar ...";154;260;355;295;297;375;414;540;20;247;590;671;538;562;349;645;282;240;
151590;"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...";12;19;30;23;29;24;35;19;32;53;51;55;148;165;105;182;190;211;
170410;"Chewing gum, whether or not sugar-coated";139;221;216;138;260;160;120;235;116;33;328;63;480;628;35;41;658;210;
190590;"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...";19;76;36;69;153;171;50;97;296;141;77;172;166;256;123;131;219;207;
030611;"Frozen rock lobster and other sea crawfish "Palinurus spp.", "Panulirus spp." and "Jasus spp.", ...";23;236;56;37;82;447;98;73;57;95;51;171;7;164;75;83;100;206;
160414;"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excl. minced)";157;495;448;209;95;599;767;464;8;132;180;102;229;541;297;175;98;177;
040310;"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, ...";9;5;4;9;2;2;0;9;83;18;20;42;29;48;73;104;124;156;
071220;"Dried onions, whole, cut, sliced, broken or in powder, but not further prepared";0;0;0;0;0;0;0;0;0;17;0;0;0;36;23;0;6;127;
230690;"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...";0;0;0;0;0;0;0;0;0;0;0;0;22;55;39;22;31;115;
190110;"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...";33;9;27;14;19;14;46;38;23;12;43;28;45;31;34;63;276;111;
151620;"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...";0;0;0;0;0;0;4;3;0;2;10;4;2;8;12;36;58;109;
190532;"Waffles and wafers";0;0;0;0;0;0;0;0;0;0;0;43;46;40;43;87;78;102;
330130;"Resinoids";0;0;0;0;0;0;1;0;0;99;0;90;79;157;85;57;175;93;
160300;"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates";36;65;78;56;51;62;35;86;57;82;79;67;73;109;67;84;84;92;
200490;"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar or acetic ...";0;32;0;73;2;0;32;25;0;15;15;66;23;28;15;50;66;90;
330119;"Essential oils of citrus fruit, whether or not terpeneless, incl. concretes and absolutes (excl. ...";0;0;0;0;0;89;3;6;0;22;18;0;0;22;3;1;14;78;
030559;"Fish, dried, even salted but not smoked, n.e.s. (excl. fillets and offal)";0;60;10;98;0;0;0;0;1;11;45;88;68;22;69;40;51;76;
081400;"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...";63;60;34;19;14;35;15;6;52;27;14;38;79;84;36;92;85;67;
220300;"Beer made from malt";72;7;76;33;35;47;41;36;26;44;46;55;47;113;72;15;13;66;
030729;"Scallops and other molluscs of the family Pectinidae, smoked, dried, salted or in brine, even ...";12;6;47;58;40;19;1;0;0;0;0;85;0;0;137;205;89;65;
071290;"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not ...";1177;397;1243;1668;2649;514;2313;2790;1377;2318;1122;2379;1913;1848;1463;1470;571;63;
330112;"Oils of sweet and bitter orange, whether or not terpeneless, incl. concretes and absolutes ...";54;447;239;0;29;216;0;86;40;217;106;143;52;456;201;2;147;59;
150500;"Wool grease and fatty substances derived therefrom, incl. lanolin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;
200210;"Tomatoes, whole or in pieces, prepared or preserved otherwise than by vinegar or acetic acid";0;0;0;5;0;1;23;0;0;0;58;20;32;11;99;21;29;56;
330290;"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...";118;31;38;34;38;70;21;19;1;7;24;3;27;1;28;3;8;54;
110319;"Groats and meal of cereals (excl. wheat and maize)";6;5;11;25;17;8;17;24;12;29;18;47;22;49;54;111;65;52;
210320;"Tomato ketchup and other tomato sauces";0;0;1;0;6;13;14;14;15;0;17;6;27;23;0;1;0;40;
200830;"Citrus fruit, prepared or preserved, whether or not containing added sugar or other sweetening ...";59;158;35;14;20;26;15;18;75;46;22;2;25;28;4;5;72;39;
160412;"Prepared or preserved herrings, whole or in pieces (excl. minced)";0;0;26;36;47;90;62;118;75;40;44;174;121;73;138;146;140;35;
160419;"Prepared or preserved fish, whole or in pieces (excl. minced, merely smoked, and salmon, herrings, ...";69;4;43;71;0;12;24;9;0;15;57;7;12;11;21;32;23;34;
030622;"Lobsters "Homarus spp.", even smoked, whether in shell or not, live, fresh, chilled, dried, ...";339;512;514;132;46;109;61;72;60;50;36;26;40;33;14;8;33;33;
190531;"Sweet biscuits";0;0;0;0;0;0;0;0;0;0;0;41;1;30;5;27;32;33;
210330;"Mustard flour and meal, whether or not prepared, and mustard";15;1;0;4;8;12;30;8;0;47;0;17;46;12;0;0;0;32;
220210;"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...";78;128;151;80;81;162;147;126;0;103;62;100;8;8;0;27;1;28;
030614;"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;66;25;
071231;"Dried mushrooms of the genus "Agaricus", whole, cut, sliced, broken or in powder, but not further ...";0;0;0;0;0;0;0;0;0;0;0;0;1;18;6;0;2;20;
170290;"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...";0;0;10;19;43;0;14;0;0;0;0;0;0;0;0;0;0;15;
151219;"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...";4;0;0;0;0;0;0;0;13;161;2;28;31;51;25;14;14;12;
330125;"Oils of mints, whether or not terpeneless, incl. concretes and absolutes (excl. those of peppermint ...";28;16;26;42;16;16;82;7;13;10;58;7;19;34;22;130;21;12;
220900;"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid";0;5;30;14;0;25;8;17;13;31;15;82;13;14;74;38;14;11;
190219;"Uncooked pasta, not stuffed or otherwise prepared, not containing eggs";0;0;7;4;11;3;2;73;6;4;12;7;21;3;3;12;4;9;
151499;"High erucic acid rape or colza oil "fixed oil which has an erucic acid content of >= 2%", and ...";0;0;0;0;0;0;0;0;0;0;0;7;4;10;5;8;0;6;
110311;"Groats and meal of wheat";5;6;11;1;1;2;0;11;8;0;4;2;1;6;4;1;10;5;
200799;"Jams, jellies, marmalades, purées or pastes of fruit, obtained by cooking, whether or not containing ...";24;9;16;2;9;13;18;6;0;1;3;11;0;2;6;3;3;5;
210390;"Preparations for sauces and prepared sauces; mixed condiments and seasonings (excl. soya sauce, ...";62;32;0;0;3;0;0;14;3;0;2;8;6;0;27;4;0;5;
220110;"Mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured";62;18;32;9;0;37;0;44;4;18;32;79;10;28;12;31;12;5;
240220;"Cigarettes, containing tobacco";52;77;43;17;32;66;22;23;30;99;30;59;152;49;9;0;231;5;
151529;"Maize oil and fractions thereof, whether or not refined, but not chemically modified (excl. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;
210500;"Ice cream and other edible ice, whether or not containing cocoa";0;0;0;0;0;0;0;0;0;0;59;0;0;22;0;0;0;4;
170191;"Refined cane or beet sugar, containing added flavouring or colouring, in solid form";0;0;0;6;0;2;0;4;3;4;3;2;0;4;1;8;0;3;
190190;"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;3;
040690;"Cheese (excl. fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese and ...";2;1;2;0;0;0;0;1;0;0;2;39;0;6;11;1;3;2;
081290;"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...";198;290;328;77;43;70;7;0;1;0;5;3;15;9;4;3;0;2;
121300;"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...";0;0;0;0;0;0;0;0;0;2;1;2;1;1;2;1;1;2;
190230;"Pasta, cooked or otherwise prepared (excl. stuffed)";0;0;0;0;0;0;0;2;3;2;2;12;0;3;15;0;0;2;
190540;"Rusks, toasted bread and similar toasted products";0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;10;2;
200990;"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ...";7;0;0;0;0;1;8;11;2;1;2;1;3;13;6;2;0;2;
151790;"Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...";0;0;0;0;0;0;0;0;0;40;0;4;1;1;0;2;1;1;
170199;"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ...";4;10;0;0;1;0;0;0;0;4;1;3;0;0;0;0;0;1;
180690;"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...";0;0;0;1;0;0;0;0;26;0;4;0;0;0;0;0;101;1;
200600;"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ...";14;0;0;0;0;0;0;2;0;0;0;0;0;0;42;22;45;1;
200929;"Grapefruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;1;0;1;66;1;1;1;
200939;"Single citrus fruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;
020900;"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
020910;"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
020990;"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
021011;"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
021012;"Bellies "streaky" and cuts thereof of swine, salted, in brine, dried or smoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
021019;"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
021020;"Meat of bovine animals, salted, in brine, dried or smoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
021090;"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
021099;"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030510;"Flours, meals and pellets of fish, fit for human consumption";0;0;0;2242;7269;2197;0;2326;0;0;0;0;0;0;0;0;0;0;
030520;"Fish livers, roes and milt, dried, smoked, salted or in brine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030530;"Fish fillets, dried, salted or in brine, not smoked";0;0;0;65;0;0;0;0;55;0;0;27;0;0;25;60;23;0;
030539;"Fish fillets, dried, salted or in brine, but not smoked (excl. tilapia, catfish, carp, eels, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
030541;"Smoked Pacific salmon "Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
