Code;Product label;Exported value in 2000-Q1;Exported value in 2000-Q2;Exported value in 2000-Q3;Exported value in 2000-Q4;Exported value in 2001-Q1;Exported value in 2001-Q2;Exported value in 2001-Q3;Exported value in 2001-Q4;Exported value in 2002-Q1;Exported value in 2002-Q2;Exported value in 2002-Q3;Exported value in 2002-Q4;Exported value in 2003-Q1;Exported value in 2003-Q2;Exported value in 2003-Q3;Exported value in 2003-Q4;Exported value in 2004-Q1;Exported value in 2004-Q2;
040110;"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040120;"Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040130;"Milk and cream of a fat content by weight of > 6%, not concentrated nor containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;
040140;"Milk and cream of a fat content by weight of > 6% but <= 10%, not concentrated nor containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040150;"Milk and cream of a fat content by weight of > 10%, not concentrated nor containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040210;"Milk and cream in solid forms, of a fat content by weight of <= 1,5%";0;0;1;0;3;0;6;0;0;0;0;0;0;3;0;0;0;0;
040221;"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened";0;6;3;1;0;0;0;0;0;3;9;3;0;255;7;8;0;0;
040229;"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040291;"Milk and cream, concentrated but unsweetened (excl. in solid forms)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040299;"Milk and cream, concentrated and sweetened (excl. in solid forms)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040390;"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040410;"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040490;"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040510;"Butter (excl. dehydrated butter and ghee)";0;0;30;0;0;0;0;0;0;0;44;356;0;0;0;0;0;0;
040520;"Dairy spreads of a fat content, by weight, of >= 39% but < 80%";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040590;"Fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040610;"Fresh cheese "unripened or uncured cheese", incl. whey cheese, and curd";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;
040620;"Grated or powdered cheese, of all kinds";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
040640;"Blue-veined cheese and other cheese containing veins produced by "Penicillium roqueforti"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040700;"Birds' eggs, in shell, fresh, preserved or cooked";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040711;"Fertilised eggs for incubation, of domestic fowls";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040719;"Fertilised birds' eggs for incubation (excl. of domestic fowls)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040721;"Fresh eggs of domestic fowls, in shell (excl. fertilised for incubation)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040729;"Fresh birds' eggs, in shell (excl. of domestic fowls, and fertilised for incubation)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040790;"Birds' eggs, in shell, preserved or cooked";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040811;"Dried egg yolks, whether or not sweetened";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040819;"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040891;"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040899;"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
040900;"Natural honey";0;14;0;0;0;0;5;1;16;1;0;1;0;0;0;0;0;0;
041000;"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
071230;"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared";1;0;0;0;15;7;0;16;30;0;13;0;0;0;0;0;0;0;
071232;"Dried wood ears "Auricularia spp.", whole, cut, sliced, broken or in powder, but not further ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
071239;"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
081120;"Frozen raspberries, blackberries, mulberries, loganberries, black-, white- or red currants ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
081210;"Cherries, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
081220;"Strawberries, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...";0;12;58;0;0;23;38;0;0;0;0;0;0;0;0;0;0;0;
100620;"Husked or brown rice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
100630;"Semi-milled or wholly milled rice, whether or not polished or glazed";0;1;1;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;
100640;"Broken rice";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110210;"Rye flour";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110220;"Maize "corn" flour";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110230;"Rice flour";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110290;"Cereal flours (excl. wheat, meslin and maize)";0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
110313;"Groats and meal of maize "corn"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110320;"Cereal pellets";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110411;"Rolled or flaked grains of barley";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;
110412;"Rolled or flaked grains of oats";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110419;"Rolled or flaked grains of cereals (excl. oats)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110421;"Hulled, pearled, sliced, kibbled or otherwise worked grains of barley (excluding barley flour)";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110422;"Hulled, pearled, sliced, kibbled or otherwise worked oat grains (excl. rolled, flaked, pellets ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110423;"Hulled, pearled, sliced, kibbled or otherwise worked maize grains (excl. rolled, flaked, pellets ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110429;"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excl. rolled, flaked, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110430;"Germ of cereals, whole, rolled, flaked or ground";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110510;"Flour, meal and powder of potatoes";0;1;5;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;
110520;"Flakes, granules and pellets of potatoes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110610;"Flour, meal and powder of peas, beans, lentils and the other dried leguminous vegetables of ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110620;"Flour, meal and powder of sago or of roots or tubers of manioc, arrowroot, salep, sweet potatoes ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110630;"Flour, meal and powder of produce of chapter 8 "Edible fruit and nuts; peel of citrus fruits ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;
110710;"Malt (excl. roasted)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
110720;"Roasted malt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
121410;"Alfalfa meal and pellets";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
121490;"Swedes, mangolds, fodder roots, hay, lucerne "alfalfa", clover, sainfoin, forage kale, lupines, ...";0;27;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;
150100;"Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excluding lard stearin ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150190;"Poultry fat, rendered or otherwise extracted";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150200;"Fats of bovine animals, sheep or goats (excluding lard stearin, lard oil, oleostearin, oleooil ...";0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
150300;"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excl. emulsified, mixed or otherwise ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150410;"Fish-liver oils and their fractions, whether or not refined (excl. chemically modified)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150510;"Crude wool grease";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150590;"Wool grease and fatty substances derived therefrom incl. lanolin (excluding crude)";0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;
150600;"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150710;"Crude soya-bean oil, whether or not degummed";0;0;0;0;0;0;0;0;0;0;905;0;0;0;0;0;0;0;
150810;"Crude groundnut oil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
150890;"Groundnut oil and its fractions, whether or not refined (excl. chemically modified and crude)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151110;"Crude palm oil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151229;"Cotton-seed oil and its fractions, whether or not refined, but not chemically modified (excl. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151311;"Crude coconut oil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151319;"Coconut oil and its fractions, whether or not refined, but not chemically modified (excl. crude)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151321;"Crude palm kernel and babassu oil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151329;"Palm kernel and babassu oil and their fractions, whether or not refined, but not chemically ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151410;"Crude rape, colza or mustard oil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151411;"Low erucic acid rape or colza oil "fixed oil which has an erucic acid content of < 2%", crude";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151419;"Low erucic acid rape or colza oil "fixed oil which has an erucic acid content of < 2%" and ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151490;"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151511;"Crude linseed oil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151519;"Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excl. ...";0;0;0;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0;
151521;"Crude maize oil";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151530;"Castor oil and fractions thereof, whether or not refined, but not chemically modified";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151540;"Tung oil and its fractions, whether or not refined, but not chemically modified";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151550;"Sesame oil and its fractions, whether or not refined, but not chemically modified";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151560;"Microbial fats and oils and their fractions, whether or not refined, but not chemically modified";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151610;"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
151800;"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
152110;"Vegetable waxes, whether or not refined or coloured (excl. triglycerides)";0;0;0;40;38;2;0;0;0;0;0;0;0;0;0;0;0;0;
152190;"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
152200;"Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes";0;61;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
160100;"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;
160210;"Homogenised prepared meat, offal, blood or insects, put up for retail sale as infant food or ...";0;0;0;0;52;0;0;0;0;0;0;0;0;1;2;0;0;0;
160220;"Preparations of liver of any animal (excl. sausages and similar products and finely homogenised ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160231;"Meat or offal of turkeys "Gallus domesticus", prepared or preserved (excl. sausages and similar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160232;"Meat or offal of fowls of the species "Gallus domesticus", prepared or preserved (excl. sausages ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160239;"Prepared or preserved meat or meat offal of ducks, geese and guinea fowl of the species domesticus ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160241;"Hams of swine and cuts thereof, prepared or preserved";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160242;"Prepared or preserved shoulders and cuts thereof, of swine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160249;"Prepared or preserved meat and offal of swine, incl. mixtures (excl. hams, shoulders and cuts ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160250;"Prepared or preserved meat or offal of bovine animals (excl. sausages and similar products, ...";0;0;18;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;
160290;"Prepared or preserved meat, offal, blood or insects (excl. meat or offal of poultry, swine ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160411;"Prepared or preserved salmon, whole or in pieces (excl. minced)";0;19;21;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;
160430;"Caviar and caviar substitutes prepared from fish eggs";4;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160432;"Caviar substitutes prepared from fish eggs";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160510;"Crab, prepared or preserved (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160520;"Shrimps and prawns, prepared or preserved";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
160521;"Shrimps and prawns, prepared or preserved, not in airtight containers (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160529;"Shrimps and prawns, prepared or preserved, in airtight containers (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160530;"Lobster, prepared or preserved (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160540;"Crustaceans, prepared or preserved (excl. smoked, crabs, shrimps, prawns and lobster)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160552;"Scallops, incl. queen scallops, prepared or preserved (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160553;"Mussels, prepared or preserved (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160554;"Cuttlefish and squid, prepared or preserved (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160555;"Octopus, prepared or preserved (excl. smoked)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160558;"Snails, prepared or preserved (excl. smoked and sea snails)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160559;"Molluscs, prepared or preserved (excl. smoked, oysters, scallops, mussels, cuttle fish, squid, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160569;"Aquatic invertebrates, prepared or preserved (excl. smoked, crustaceans, molluscs, sea cucumbers, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
160590;"Molluscs and aquatic invertebrates, prepared or preserved";0;0;31;20;5;0;0;0;0;0;120;2;0;89;140;128;114;0;
170111;"Raw cane sugar (excluding added flavouring or colouring)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170112;"Raw beet sugar (excl. added flavouring or colouring)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170113;"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170114;"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excl. cane ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170211;"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, ...";0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;
170219;"Lactose in solid form and lactose syrup, not containing added flavouring or colouring matter, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;
170220;"Maple sugar, in solid form, and maple syrup (excl. flavoured or coloured)";0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170240;"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter, ...";33;29;73;83;245;73;170;236;55;167;80;0;67;75;0;460;0;0;
170250;"Chemically pure fructose in solid form";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
170260;"Fructose in solid form and fructose syrup, not containing added flavouring or colouring matter ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
180610;"Cocoa powder, sweetened";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
180620;"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...";0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
180631;"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg, filled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
180632;"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excl. ...";0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;1;0;0;
190120;"Mixes and doughs of flour, groats, meal, starch or malt extract, not containing cocoa or containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190211;"Uncooked pasta, not stuffed or otherwise prepared, containing eggs";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190220;"Pasta, stuffed with meat or other substances, whether or not cooked or otherwise prepared";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190300;"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190410;"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes";0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;
190420;"Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes ...";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
190430;"Bulgur wheat in the form of worked grains, obtained by cooking hard wheat grains";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190490;"Cereals (excl. maize [corn]) in grain or flake form or other worked grains, pre-cooked or otherwise ...";0;0;0;0;0;0;0;0;0;3;0;0;7;5;0;0;0;0;
190510;"Crispbread";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
190520;"Gingerbread and the like, whether or not containing cocoa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;
190530;"Sweet biscuits, waffles and wafers, whether or not containing cocoa (excluding with water content ...";34;0;29;57;51;31;14;33;37;70;75;0;0;0;0;0;0;0;
200120;"Onions, prepared or preserved by vinegar or acetic acid";0;25;0;0;25;64;0;0;111;113;0;0;0;0;0;0;0;0;
200310;"Mushrooms of the genus "Agaricus", prepared or preserved otherwise than by vinegar or acetic ...";0;0;14;0;0;0;0;1;0;0;25;54;0;0;0;0;0;0;
200390;"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excl. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200410;"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen";0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;
200510;"Homogenised vegetables put up for retail sale as infant food or for dietetic purposes, in containers ...";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
200520;"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";103;0;7;0;8;0;5;6;0;0;0;0;0;0;0;0;0;0;
200540;"Peas "Pisum Sativum", prepared or preserved otherwise than by vinegar or acetic acid (excl. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
200551;"Shelled beans "Vigna spp., Phaseolus spp.", prepared or preserved otherwise than by vinegar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200560;"Asparagus, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200580;"Sweetcorn "Zea Mays var. Saccharata", prepared or preserved otherwise than by vinegar or acetic ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200591;"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200599;"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200710;"Homogenised preparations of jams, jellies, marmalades, fruit or nut purées and nut pastes, ...";0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200791;"Citrus fruit jams, jellies, marmalades, purées or pastes, obtained by cooking, whether or not ...";8;0;19;0;0;20;5;14;0;0;2;2;0;0;0;0;5;0;
200811;"Groundnuts, prepared or preserved (excl. preserved with sugar)";0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200819;"Nuts and other seeds, incl. mixtures, prepared or preserved (excl. prepared or preserved with ...";0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;
200820;"Pineapples, prepared or preserved, whether or not containing added sugar or other sweetening ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200840;"Pears, prepared or preserved, whether or not containing added sugar or other sweetening matter ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;
200860;"Cherries, prepared or preserved, whether or not containing added sugar or other sweetening ...";0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;
200870;"Peaches, incl. nectarines, prepared or preserved, whether or not containing added sugar or ...";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200880;"Strawberries, prepared or preserved, whether or not containing added sugar or other sweetening ...";19;27;14;63;0;12;12;0;0;0;0;0;0;5;3;0;0;0;
200891;"Palm hearts, prepared or preserved, whether or not containing added sugar or other sweetening ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200892;"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200893;"Cranberries "Vaccinium macrocarpon, Vaccinium oxycoccos" and lingonberries "Vaccinium vitis-idaea", ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200897;"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200899;"Fruit and other edible parts of plants, prepared or preserved, whether or not containing added ...";26;33;83;31;0;0;157;8;13;0;74;36;0;3;63;43;0;0;
200911;"Frozen orange juice, unfermented, whether or not containing added sugar or other sweetening ...";2359;2488;2234;318;169;679;1614;1744;1288;1368;687;95;156;639;873;61;150;0;
200912;"Orange juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200920;"Grapefruit juice, unfermented, whether or not containing added sugar or other sweetening matter ...";0;3;83;1;3;82;1;0;0;69;0;0;0;0;0;0;0;0;
200921;"Grapefruit juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200930;"Juice of citrus fruit, unfermented, whether or not containing added sugar or other sweetening ...";93;17;15;9;9;9;16;8;7;12;0;0;0;0;0;0;0;0;
200931;"Single citrus fruit juice, unfermented, Brix value <= 20 at 20°C, whether or not containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200940;"Pineapple juice, unfermented, whether or not containing added sugar or other sweetening matter ...";6;5;1;2;3;1;2;18;6;3;0;0;0;0;0;0;0;0;
200941;"Pineapple juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200949;"Pineapple juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar ...";0;0;0;0;0;0;0;0;0;0;0;1;64;3;4;2;11;0;
200950;"Tomato juice, unfermented, whether or not containing added sugar or other sweetening matter ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200960;"Grape juice, incl. grape must, unfermented, whether or not containing added sugar or other ...";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200961;"Grape juice, incl. grape must, unfermented, Brix value <= 30 at 20°C, whether or not containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200969;"Grape juice, incl. grape must, unfermented, Brix value > 30 at 20°C, whether or not containing ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200970;"Apple juice, unfermented, whether or not containing added sugar or other sweetening matter ...";1;1;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
200971;"Apple juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar or ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
200979;"Apple juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar or ...";0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;13;0;
